zip,estimate,donations,total,donations_per_1000
21914,740,114,2967.6400000000003,154.05405405405406
21913,878,93,2956.27,105.92255125284738
21778,880,187,2955.6699999999983,212.5
20687,360,80,2937.49,222.2222222222222
21657,1437,61,2836.7200000000003,42.44954766875435
20762,3099,160,2821.08,51.62955792191029
20632,802,21,2812.5,26.184538653366584
21562,3248,202,2810.76,62.19211822660098
21871,1747,135,2733.2100000000005,77.27532913566114
21856,924,221,2715.48,239.17748917748918
21734,861,137,2700,159.11730545876887
21668,1842,148,2688.7899999999995,80.34744842562432
20608,603,337,2569.720000000003,558.8723051409619
20670,1403,100,2542.67,71.27583749109053
21649,2205,100,2484.55,45.35147392290249
21733,1202,95,2380.62,79.03494176372712
21930,27,55,2363,2037.0370370370372
20609,1240,61,2290,49.193548387096776
21864,778,59,2239.66,75.83547557840618
21628,360,119,2211.88,330.55555555555554
21821,765,155,2020.34,202.6143790849673
21869,943,178,1823.8399999999983,188.7592788971368
21874,2222,139,1668.7499999999998,62.55625562556255
21287,0,33,1663,Inf
21557,1782,71,1640.1999999999998,39.84287317620651
21719,1145,115,1636.0099999999998,100.43668122270742
21850,3628,110,1634.26,30.319735391400222
21838,2219,55,1579,24.785939612438035
20656,203,38,1569.76,187.19211822660097
20667,159,37,1525.39,232.70440251572327
21077,105,85,1464.38,809.5238095238095
21156,362,40,1304.9999999999998,110.49723756906077
21861,776,42,1238.16,54.123711340206185
21677,598,28,1214,46.82274247491638
20611,1127,46,1206,40.816326530612244
21766,544,28,1177.77,51.470588235294116
21636,824,58,1112,70.3883495145631
22807,5601,2,1100,0.35707909301910373
21653,105,75,1085,714.2857142857143
22654,1283,2,1000,1.558846453624318
21545,1693,55,972.24,32.486709982279976
20621,775,66,967,85.16129032258064
21840,541,59,936.9400000000002,109.0573012939002
21521,1426,53,890.1600000000001,37.166900420757365
21529,575,33,886,57.391304347826086
20629,1072,37,813,34.51492537313433
21664,642,37,803,57.63239875389408
20624,990,60,795,60.60606060606061
21539,2095,28,785.4200000000001,13.365155131264915
21711,864,30,741,34.72222222222222
21872,573,51,683.82,89.00523560209423
21285,10,3,650,300
20615,524,25,633,47.709923664122144
21031,26,10,589.24,384.61538461538464
21052,438,16,551,36.5296803652968
21622,348,17,546.72,48.850574712643684
2190,18516,8,536.65,0.43205875999135884
21240,0,14,522,Inf
22311,19531,3,505,0.15360196610516613
22811,436,10,500,22.93577981651376
20892,0,5,500,Inf
22044,14042,23,467,1.6379433129183876
22046,18007,5,440,0.27766979507969125
21829,394,17,435,43.14720812182741
21902,251,44,410,175.2988047808765
22401,28218,20,409,0.70876745339854
20612,147,21,399.17,142.85714285714286
21607,522,2,350,3.8314176245210727
21790,0,5,349.24,Inf
21920,1089,16,331,14.692378328741965
22209,13173,17,303.0399999999999,1.290518484779473
22801,39154,5,275,0.12770087347397455
21105,40,28,267,700
22027,1974,2,250,1.0131712259371835
22714,1034,1,250,0.9671179883945842
